time,open,high,low,close,vwap,volume,count
1668988800,1140.86,1143.93,1080.00,1106.42,1111.05,4480.19952993,1595
1669075200,1106.39,1140.79,1074.30,1134.11,1113.70,3769.03471637,1351
1669161600,1138.50,1188.00,1127.14,1185.91,1163.10,1684.50305925,772
1669248000,1184.00,1215.00,1180.32,1203.11,1197.92,1081.07371953,519
1669334400,1203.50,1205.39,1171.28,1201.39,1191.21,1101.07641365,497
1669420800,1199.11,1233.67,1197.02,1205.33,1217.73,1038.14075317,529
1669507200,1205.19,1221.34,1190.00,1190.25,1213.24,989.35570046,508
1669593600,1193.66,1197.16,1151.52,1167.59,1169.83,1661.05495834,755
1669680000,1167.47,1225.30,1159.78,1215.92,1210.74,1280.41622606,692
1669766400,1216.39,1309.98,1213.54,1295.28,1279.11,2012.87740482,1173
1669852800,1295.09,1298.36,1264.90,1276.15,1279.92,715.91824336,489
1669939200,1276.95,1295.87,1268.00,1294.60,1278.59,1037.33322383,436
1670025600,1295.67,1309.33,1236.97,1241.02,1275.50,786.92254588,440
1670112000,1241.27,1285.83,1241.27,1281.09,1267.79,287.32993985,284
1670198400,1280.13,1304.16,1248.40,1259.37,1275.75,963.19713719,552
1670284800,1259.89,1273.12,1243.59,1272.77,1256.92,1269.60146068,487
1670371200,1271.84,1276.68,1217.65,1234.19,1231.89,1019.14752356,540
1670457600,1232.23,1294.46,1223.27,1281.74,1248.24,1147.17090375,591
1670544000,1280.35,1298.67,1257.52,1261.75,1280.34,944.85379271,466
1670630400,1263.34,1281.90,1262.44,1262.77,1268.42,129.93702134,138
1670716800,1266.63,1282.77,1257.52,1262.78,1269.67,586.00724752,262
1670803200,1263.46,1278.28,1241.36,1275.31,1253.54,882.76259373,431
1670889600,1276.49,1348.00,1258.66,1324.46,1314.95,7019.59777496,1532
1670976000,1321.61,1375.16,1302.56,1308.14,1329.87,2742.92497978,985
1671062400,1310.12,1310.20,1261.26,1266.78,1274.34,649.90639671,439
1671148800,1267.13,1278.34,1157.70,1167.62,1214.32,2453.43054974,1366
1671235200,1166.56,1188.91,1163.20,1188.91,1178.17,565.93301479,414
1671321600,1186.68,1194.13,1173.04,1183.01,1179.94,281.89023270,220
1671408000,1184.08,1193.59,1152.00,1167.13,1174.59,405.69060128,337
1671494400,1166.18,1228.63,1101.00,1219.12,1192.69,1050.47668318,676
1671580800,1213.47,1223.48,1206.10,1213.64,1211.34,597.39524803,268
1671667200,1212.22,1234.84,1184.22,1217.10,1206.14,327.29478135,345
1671753600,1217.10,1228.26,1212.50,1219.65,1219.37,566.55169180,259
1671840000,1219.36,1226.25,1214.80,1219.70,1218.30,188.28315591,114
1671926400,1221.32,1222.85,1193.83,1217.83,1206.66,205.10423146,321
1672012800,1219.13,1229.59,1213.07,1228.67,1218.54,618.54296980,285
1672099200,1231.22,1233.26,1201.54,1210.96,1213.84,158.34336501,241
1672185600,1211.14,1211.38,1181.39,1188.26,1194.59,955.64956763,546
1672272000,1189.86,1204.47,1188.11,1200.97,1196.53,979.73362126,403
1672358400,1200.83,1200.87,1182.82,1198.00,1193.91,526.80681758,428
1672444800,1199.72,1206.61,1190.00,1196.60,1197.27,822.29339812,363
1672531200,1195.59,1204.73,1191.81,1200.38,1198.42,501.05945964,210
1672617600,1200.24,1344.95,1193.47,1216.46,1217.85,1448.67038774,721
1672704000,1214.13,1219.62,1205.79,1213.83,1214.23,592.65217991,268
1672790400,1214.22,1270.65,1213.14,1256.84,1251.36,1998.63785952,690
1672876800,1256.68,1257.51,1243.58,1250.01,1251.89,482.58936385,295
1672963200,1251.28,1275.06,1237.68,1268.87,1250.26,1205.49626892,524
1673049600,1269.27,1270.19,1261.00,1263.83,1263.70,726.03462270,330
1673136000,1263.90,1294.15,1257.39,1290.45,1268.09,835.03877538,465
1673222400,1290.44,1344.53,1286.33,1321.57,1318.21,2232.66028065,823
1673308800,1320.89,1346.06,1318.35,1335.97,1331.61,1303.27937578,606
1673395200,1336.24,1397.50,1321.65,1389.48,1343.85,1344.22072076,803
1673481600,1389.59,1542.12,1365.24,1417.17,1406.83,3491.36187366,1927
1673568000,1416.47,1465.23,1402.13,1450.22,1423.27,2208.87578966,767
1673654400,1451.93,1597.38,1450.51,1553.02,1542.31,3971.84450350,1754
1673740800,1550.73,1565.16,1518.69,1553.94,1543.24,2204.16573301,615
1673827200,1553.94,1604.27,1521.20,1576.65,1569.66,1419.99122926,823
1673913600,1577.26,1606.04,1540.42,1568.41,1573.97,1238.32175362,663
1674000000,1566.25,1607.70,1502.71,1511.90,1556.97,2000.62339769,1158
1674086400,1511.53,1563.29,1511.53,1556.73,1532.82,900.44733675,586
1674172800,1551.23,1665.93,1543.93,1660.25,1579.92,3486.42827631,1403
1674259200,1658.79,1678.07,1615.00,1624.30,1649.96,1040.90217150,1162
1674345600,1627.02,1663.13,1605.65,1628.53,1630.64,955.24986335,690
1674432000,1628.26,1650.00,1590.00,1626.20,1629.82,2020.16500249,948
1674518400,1626.47,1640.59,1537.19,1555.75,1604.62,1176.02451378,776
1674604800,1555.77,1638.82,1517.87,1612.18,1571.86,1483.38109128,999
1674691200,1614.43,1639.99,1578.99,1601.53,1613.01,1038.03477645,536
1674777600,1602.14,1620.78,1554.22,1598.13,1591.89,1044.56553575,739
1674864000,1599.45,1605.76,1559.80,1573.03,1580.24,312.06933365,378
1674950400,1572.98,1659.00,1572.98,1644.40,1618.80,1219.07382270,785
1675036800,1644.91,1646.20,1534.33,1567.86,1581.02,1629.18225025,975
1675123200,1566.80,1603.42,1563.00,1586.35,1581.13,954.39554782,647
1675209600,1585.51,1646.74,1558.31,1641.42,1592.73,1655.23201780,952
1675296000,1642.14,1710.78,1631.17,1641.52,1674.53,1575.94090858,920
1675382400,1643.81,1673.66,1628.64,1666.56,1647.07,687.52596541,500
1675468800,1664.05,1693.41,1646.84,1663.04,1675.53,1524.73477739,427
1675555200,1666.87,1673.39,1611.32,1631.95,1654.44,1116.68206038,533
1675641600,1629.72,1655.50,1605.95,1614.35,1638.10,1949.42844717,631
1675728000,1614.88,1675.67,1614.31,1673.24,1640.11,631.96138756,613
1675814400,1671.64,1693.41,1632.75,1650.92,1661.61,893.85911168,574
1675900800,1650.78,1656.07,1526.14,1545.08,1587.98,2251.50807042,1451
1675987200,1545.86,1554.99,1493.19,1513.58,1526.97,1332.64753543,794
1676073600,1513.71,1542.12,1506.48,1540.64,1522.29,432.74245099,390
1676160000,1539.18,1549.10,1496.25,1515.85,1525.69,416.55404224,394
1676246400,1515.86,1526.89,1466.78,1508.00,1495.02,812.88345524,672
1676332800,1506.96,1567.78,1484.96,1558.41,1532.91,1229.19821695,739
1676419200,1556.88,1680.32,1544.34,1678.85,1605.77,1468.71732754,965
1676505600,1676.26,1742.49,1636.41,1636.41,1696.92,1586.74352876,1224
1676592000,1638.17,1720.00,1632.75,1695.54,1674.15,672.63851000,632
1676678400,1694.71,1714.42,1680.87,1692.37,1695.12,419.47202763,235
1676764800,1692.08,1725.28,1667.10,1680.00,1691.35,971.70777057,528
1676851200,1680.86,1718.55,1653.63,1702.40,1694.47,828.97887112,620
1676937600,1703.83,1715.15,1638.00,1657.82,1675.14,929.29331292,828
1677024000,1658.88,1660.37,1596.86,1642.88,1627.36,686.96974973,898
1677110400,1643.30,1675.53,1629.25,1650.80,1650.28,1323.02972341,1035
1677196800,1651.10,1662.74,1575.10,1608.00,1625.32,1158.68859255,850
1677283200,1607.86,1608.00,1559.96,1595.00,1591.86,338.76541505,353
1677369600,1594.73,1648.90,1590.71,1640.88,1609.91,311.23686450,334
1677456000,1641.63,1663.28,1610.87,1633.23,1639.39,3543.60501659,1209
1677542400,1633.43,1645.62,1598.00,1605.06,1628.74,1571.03433227,788
1677628800,1605.37,1668.83,1596.79,1665.48,1649.73,944.95790721,660
1677715200,1665.33,1675.79,1622.55,1646.91,1640.77,820.07830295,438
1677801600,1648.21,1648.21,1542.96,1568.99,1570.19,1220.61698135,993
1677888000,1569.85,1576.01,1551.59,1566.33,1565.97,133.79310447,199
1677974400,1566.99,1586.28,1556.00,1564.84,1570.37,152.87492410,224
1678060800,1564.93,1580.34,1557.39,1566.92,1566.42,340.37853035,282
1678147200,1565.80,1580.34,1537.00,1561.95,1560.89,1206.86831899,560
1678233600,1561.84,1568.79,1522.68,1529.62,1551.48,2791.56850024,905
1678320000,1532.31,1547.00,1400.00,1437.74,1471.29,2228.52482346,1316
1678406400,1437.95,1451.38,1372.61,1432.12,1415.68,2765.61188050,2470
1678492800,1435.20,1750.44,1434.24,1532.76,1579.65,13783.91234404,13709
1678579200,1532.88,1634.40,1494.10,1609.39,1538.56,4347.39429194,6959
1678665600,1605.53,1709.19,1585.00,1681.11,1655.70,1902.71062233,2511
1678752000,1683.18,1782.83,1667.12,1708.26,1727.51,1123.19312004,1598
1678838400,1706.56,1720.74,1617.27,1655.27,1669.74,776.19023341,1004
1678924800,1657.01,1693.41,1642.05,1678.44,1660.17,932.64095153,1199
1679011200,1677.82,1800.73,1667.31,1788.98,1732.16,5347.68707734,7406
1679097600,1793.79,1842.45,1750.25,1762.17,1808.54,877.95180104,1308
1679184000,1763.47,1844.34,1763.47,1782.89,1805.73,740.98127966,1302
1679270400,1787.78,1807.70,1730.89,1734.13,1764.95,1034.03310423,1220
1679356800,1739.73,1838.20,1725.74,1807.30,1782.57,476.27654034,1035
1679443200,1806.78,1822.25,1718.09,1739.56,1779.80,799.75632381,1565
1679529600,1739.16,1857.36,1737.39,1819.49,1773.57,492.53261822,990
1679616000,1817.34,1821.33,1728.55,1752.04,1772.55,1660.17051721,1919
1679702400,1751.99,1762.68,1718.09,1744.43,1739.90,1307.62450116,697
